x,y,z,orientation,length,width,height
2200,3400,0,XY,200,100,100
2400,3400,0,XY,200,100,100
2600,3400,0,XY,200,100,100
2800,3400,0,XY,200,100,100
3000,3400,0,XY,200,100,100
3200,3400,0,XY,200,100,100
3400,3400,0,XY,200,100,100
3600,3400,0,XY,200,100,100
3800,3400,0,XY,200,100,100
4000,3400,0,XY,200,100,100
0,3500,0,XY,200,100,100
200,3500,0,XY,200,100,100
400,3500,0,XY,200,100,100
600,3500,0,XY,200,100,100
800,3500,0,XY,200,100,100
1000,3500,0,XY,200,100,100
1200,3500,0,XY,200,100,100
1400,3500,0,XY,200,100,100
1600,3500,0,XY,200,100,100
1800,3500,0,XY,200,100,100
2000,3500,0,XY,200,100,100
2200,3500,0,XY,200,100,100
2400,3500,0,XY,200,100,100
2600,3500,0,XY,200,100,100
2800,3500,0,XY,200,100,100
3000,3500,0,XY,200,100,100
3200,3500,0,XY,200,100,100
3400,3500,0,XY,200,100,100
3600,3500,0,XY,200,100,100
3800,3500,0,XY,200,100,100
4000,3500,0,XY,200,100,100
0,3600,0,XY,200,100,100
200,3600,0,XY,200,100,100
400,3600,0,XY,200,100,100
600,3600,0,XY,200,100,100
800,3600,0,XY,200,100,100
1000,3600,0,XY,200,100,100
1200,3600,0,XY,200,100,100
1400,3600,0,XY,200,100,100
1600,3600,0,XY,200,100,100
1800,3600,0,XY,200,100,100
2000,3600,0,XY,200,100,100
2200,3600,0,XY,200,100,100
2400,3600,0,XY,200,100,100
2600,3600,0,XY,200,100,100
2800,3600,0,XY,200,100,100
3000,3600,0,XY,200,100,100
3200,3600,0,XY,200,100,100
3400,3600,0,XY,200,100,100
3600,3600,0,XY,200,100,100
3800,3600,0,XY,200,100,100
4000,3600,0,XY,200,100,100
0,3700,0,XY,200,100,100
200,3700,0,XY,200,100,100
400,3700,0,XY,200,100,100
600,3700,0,XY,200,100,100
800,3700,0,XY,200,100,100
1000,3700,0,XY,200,100,100
1200,3700,0,XY,200,100,100
1400,3700,0,XY,200,100,100
1600,3700,0,XY,200,100,100
1800,3700,0,XY,200,100,100
2000,3700,0,XY,200,100,100
2200,3700,0,XY,200,100,100
2400,3700,0,XY,200,100,100
2600,3700,0,XY,200,100,100
2800,3700,0,XY,200,100,100
3000,3700,0,XY,200,100,100
3200,3700,0,XY,200,100,100
3400,3700,0,XY,200,100,100
3600,3700,0,XY,200,100,100
3800,3700,0,XY,200,100,100
4000,3700,0,XY,200,100,100
0,3800,0,XY,200,100,100
200,3800,0,XY,200,100,100
400,3800,0,XY,200,100,100
600,3800,0,XY,200,100,100
800,3800,0,XY,200,100,100
1000,3800,0,XY,200,100,100
1200,3800,0,XY,200,100,100
1400,3800,0,XY,200,100,100
1600,3800,0,XY,200,100,100
1800,3800,0,XY,200,100,100
2000,3800,0,XY,200,100,100
2200,3800,0,XY,200,100,100
2400,3800,0,XY,200,100,100
2600,3800,0,XY,200,100,100
2800,3800,0,XY,200,100,100
3000,3800,0,XY,200,100,100
3200,3800,0,XY,200,100,100
3400,3800,0,XY,200,100,100
3600,3800,0,XY,200,100,100
3800,3800,0,XY,200,100,100
4000,3800,0,XY,200,100,100
0,3900,0,XY,200,100,100
200,3900,0,XY,200,100,100
400,3900,0,XY,200,100,100
600,3900,0,XY,200,100,100
800,3900,0,XY,200,100,100
1000,3900,0,XY,200,100,100
1200,3900,0,XY,200,100,100
1400,3900,0,XY,200,100,100
1600,3900,0,XY,200,100,100
1800,3900,0,XY,200,100,100
2000,3900,0,XY,200,100,100
2200,3900,0,XY,200,100,100
2400,3900,0,XY,200,100,100
2600,3900,0,XY,200,100,100
2800,3900,0,XY,200,100,100
3000,3900,0,XY,200,100,100
3200,3900,0,XY,200,100,100
3400,3900,0,XY,200,100,100
3600,3900,0,XY,200,100,100
3800,3900,0,XY,200,100,100
4000,3900,0,XY,200,100,100
0,4000,0,XY,200,100,100
200,4000,0,XY,200,100,100
